Product type,Product,Revenue,Quantity,Gross margin
Cooking Gear,TrailChef Deluxe Cook Set,59628.66,489,0.34754797
Cooking Gear,TrailChef Double Flame,35950.32,252,0.4742745
Tents,Star Dome,89940.48,147,0.35277197
Tents,Star Gazer 2,165883.41,303,0.28293788
Sleeping Bags,Hibernator Lite,119822.2,1415,0.29145017
Sleeping Bags,Hibernator Extreme,87728.96,352,0.39814629
Sleeping Bags,Hibernator Camp Cot,41837.46,426,0.33560737
Lanterns,Firefly Lite,8268.41,577,0.52896022
Lanterns,Firefly Extreme,9393.3,189,0.43420523
Lanterns,EverGlow Single,19396.5,579,0.46149254
Lanterns,EverGlow Butane,6940.03,109,0.36186587
Rope,Husky Rope 50,20003.2,133,0.32905585
Rope,Husky Rope 60,14109.4,79,0.29165733
Rope,Husky Rope 100,73970.22,227,0.30126435
Rope,Husky Rope 200,77288.64,143,0.31477575
Safety,Granite Climbing Helmet,62464.88,898,0.24468085
Safety,Husky Harness,34154.9,559,0.28363339
Safety,Husky Harness Extreme,36396.8,352,0.47843327
Safety,Granite Signal Mirror,4074.84,126,0.51422387
Climbing Accessories,Granite Carabiner,15122.72,4022,0.4787234
Climbing Accessories,Granite Belay,19476.8,296,0.47613982
Climbing Accessories,Granite Pulley,15739.22,427,0.50217037
Climbing Accessories,Firefly Climbing Lamp,17998.56,464,0.42768755
Climbing Accessories,Firefly Charger,36494,710,0.56498054
Climbing Accessories,Firefly Rechargeable Battery,11673.6,1520,0.58984375
Climbing Accessories,Granite Chalk Bag,4621.68,262,0.51643991
Tools,Granite Ice,25041.6,333,0.48178191
Tools,Granite Hammer,18118.38,241,0.2434158
Tools,Granite Shovel,9543.16,164,0.33699948
Tools,Granite Grip,10146.2,523,0.49020619
Tools,Granite Axe,32870.4,856,0.49166667
Tools,Granite Extreme,42563.2,566,0.38138298
Watches,Mountain Man Extreme,6499.8,23,0.5888535
Eyewear,Polar Sun,7015.34,116,0.56760471
Eyewear,Polar Ice,3825.8,37,0.51943907
Knives,Edge Extreme,30940.25,275,0.28895209
Knives,Bear Survival Edge,8414.75,97,0.48126801
Navigation,Glacier GPS Extreme,38534.28,114,0.4779303
Insect Repellents,BugShield Extreme,25010.58,3801,0.63221884
Sunscreen,Sun Shelter Stick,5718.15,1179,0.59587629
First Aid,Compact Relief Kit,4057.2,180,0.60070985
First Aid,Aloe Relief,711.28,136,0.63288719
Watches,Infinity,11000,50,0.47472727
Watches,TX,14004,72,0.46098543
Watches,Legend,13927,58,0.44401666
Watches,Kodiak,7939.8,66,0.44272652
Eyewear,Capri,10838.9,283,0.34125326
Eyewear,Cat Eye,4428.85,101,0.35051311
Eyewear,Dante,9759.75,231,0.36
Eyewear,Fairway,8241.35,409,0.40496278
Eyewear,Inferno,12935,199,0.39374952
Eyewear,Maximus,9325,113,0.50874531
Eyewear,Trendi,9104.3,181,0.39542744
Eyewear,Zone,4574.3,149,0.33192182
Knives,Max Gizmo,7640,200,0.53979058
Knives,Pocket Gizmo,866.2,71,0.59836066
Binoculars,Ranger Vision,7520,47,0.5350625
Navigation,Trail Master,1095,3,0.34767123
Irons,Hailstorm Steel Irons,28434.48,72,0.44039771
Irons,Hailstorm Titanium Irons,65461.5,75,0.43751289
Irons,Lady Hailstorm Steel Irons,16025.28,32,0.44535634
Irons,Lady Hailstorm Titanium Irons,54319.2,65,0.44955007
Woods,Hailstorm Titanium Woods Set,106338.98,89,0.42250716
Woods,Hailstorm Steel Woods Set,30095.04,44,0.50056886
Woods,Lady Hailstorm Titanium Woods Set,34509.78,27,0.48311609
Woods,Lady Hailstorm Steel Woods Set,53082.54,62,0.44845066
Putters,Course Pro Putter,25215.25,349,0.51695502
Putters,Blue Steel Putter,9477.16,112,0.51310308
Putters,Blue Steel Max Putter,40070.44,236,0.45933212
Golf Accessories,Course Pro Golf and Tee Set,4693.5,471,0.71901566
Golf Accessories,Course Pro Umbrella,5911.05,492,0.50059634
Golf Accessories,Course Pro Golf Bag,8611.89,42,0.61130484
Golf Accessories,Course Pro Gloves,10778.92,1637,0.63399209
Cooking Gear,TrailChef Canteen,18092.51,2063,0.49600912
Cooking Gear,TrailChef Kitchen Kit,82254.08,3592,0.30434381
Cooking Gear,TrailChef Cup,21434.73,6134,0.75675458
Cooking Gear,TrailChef Cook Set,70400.88,1331,0.3388567
Cooking Gear,TrailChef Deluxe Cook Set,77066.08,632,0.34754797
Cooking Gear,TrailChef Single Flame,22593.6,360,0.26099426
Cooking Gear,TrailChef Kettle,138711.56,17492,0.49684741
Cooking Gear,TrailChef Utensils,11394.39,609,0.46552646
Tents,Star Dome,243512.32,398,0.35277197
Tents,Star Gazer 2,165335.94,302,0.28293788
Tents,Star Gazer 6,134690.2,172,0.37426776
Tents,Star Peg,2258,1129,0.5
Sleeping Bags,Hibernator Lite,50892.68,601,0.29145017
Sleeping Bags,Hibernator,160103.2,1160,0.3769019
Sleeping Bags,Hibernator Self - Inflating Mat,66514.28,556,0.5440107
Sleeping Bags,Hibernator Pad,16205.73,411,0.51382196
Sleeping Bags,Hibernator Pillow,33520.42,2475,0.46298346
Sleeping Bags,Hibernator Camp Cot,150163.09,1529,0.33560737
Packs,Canyon Mule Climber Backpack,69788.49,951,0.28458833
Packs,Canyon Mule Weekender Backpack,417084.48,1552,0.37984669
Packs,Canyon Mule Journey Backpack,235660.36,676,0.38805542
Packs,Canyon Mule Cooler,53822.16,1652,0.50890117
Packs,Canyon Mule Carryall,26806.92,388,0.40396584
Lanterns,Firefly Lite,9873.37,689,0.52896022
Lanterns,Firefly Mapreader,32079.56,2027,0.52610011
Lanterns,Firefly 2,76660.11,2899,0.36960265
Lanterns,Firefly 4,9751.3,338,0.37608319
Lanterns,Firefly Multi-light,39785.31,1536,0.31356372
Lanterns,EverGlow Single,20200.5,603,0.46149254
Lanterns,EverGlow Double,8075.38,158,0.43748777
Lanterns,EverGlow Butane,24321.94,382,0.36186587
Lanterns,EverGlow Lamp,105021.54,3903,0.33216643
Watches,Mountain Man Analog,28066.72,592,0.36722211
Watches,Mountain Man Digital,16598.54,476,0.42645558
Watches,Mountain Man Deluxe,7819.32,102,0.49126011
Watches,Mountain Man Combination,5551.31,59,0.52173451
Watches,Venue,57894,801,0.41955609
Watches,Infinity,11000,50,0.47406545
Watches,Lux,20148.8,122,0.47891388
Watches,TX,94764,498,0.45432464
Watches,Legend,82923,325,0.4488347
Watches,Kodiak,24446.1,202,0.44695391
Eyewear,Polar Sun,25787.7,426,0.56801498
Eyewear,Polar Ice,20835.1,200,0.52301645
Eyewear,Polar Sports,10265.26,89,0.48950928
Eyewear,Polar Wave,5012.47,53,0.56521236
Eyewear,Bella,8977.5,133,0.45348148
Eyewear,Capri,40942.7,1069,0.34160497
Eyewear,Cat Eye,29721.2,1109,0.31633514
Eyewear,Dante,41852.45,957,0.35135028
Eyewear,Fairway,36209.55,1797,0.40343832
