Town,Average_House_Price,Crime_Rate
Abbeyfeale,105987,1.11
Abbeyleix,189308,1.01
Achill Sound,91188,0.12
Adare,280548,0.35
Aglish,107557,0.37
Ahascragh,334005,0.60
An Clochan Liath,95823,0.79
An Craoslach,103798,0.42
An Maim,#N/A,#N/A
An Rinn,187667,0.26
An Spideal,296375,0.54
Anglesea Street,359000,24.10
Annascaul,183411,0.79
Aran Mor,124750,4.59
Ard An Rátha,93831,0.57
Ardee,179178,0.55
Ardfert,113714,0.89
Ardfinnan,137012,0.58
Ardmore,333696,0.77
Ardnacrusha,298133,2.59
Ardrahan,230693,0.66
Arklow,187776,0.89
Arles,125000,2.54
Arva,84518,0.75
Ashbourne,278724,1.31
Ashford,418218,2.18
Askeaton,137282,0.76
Athboy,178655,0.94
Athea,97066,#N/A
Athenry,198630,0.41
Athleague,98063,0.43
Athlone,148383,1.54
Athy,138267,0.93
Aughrim,205196,0.43
Avoca,256132,1.09
Bailieboro,116311,0.86
Balbriggan,200775,0.64
Balla,97928,0.44
Ballaghderreen,61667,1.06
Ballina,140138,3.59
Ballinagh,126830,0.33
Ballinamore,100910,0.95
Ballinasloe,108120,1.26
Ballincollig,274630,0.48
Ballindine,64486,0.49
Ballineen,140500,0.91
Ballingarry,122939,0.80
Ballingarry North,122939,0.26
Ballingarry South,122939,0.82
Ballinhassig,309396,#N/A
Ballinlough,244878,3.13
Ballinrobe,101129,0.55
Ballintra,87091,1.14
Ballivor,163701,0.66
Ballon,188700,1.35
Ballybay,65429,0.98
Ballybofey,103592,1.09
Ballybunion,105167,1.65
Ballyconnell,87451,2.09
Ballycotton,225283,0.30
Ballycroy,65964,0.23
Ballycullane,142829,2.09
Ballydehob,183632,0.45
Ballydesmond,98708,1.11
Ballyduff,145722,0.81
Ballyfermot,182004,0.77
Ballyferriter,135528,#N/A
Ballygar,90070,2.55
Ballyhale,114907,1.34
Ballyhaunis,79933,0.67
Ballyheigue,132167,0.54
Ballyjamesduff,121509,0.61
Ballylanders,173432,1.48
Ballylinan,154000,0.88
Ballymacarbry,138854,3.59
Ballymahon,102362,0.77
Ballymore,135548,0.49
Ballymote,83857,0.78
